feature,coefficient,absolute_coefficient
SLC38A5 (92745),-0.006658765858200839,0.006658765858200839
RTP3 (83597),0.006042150146346412,0.006042150146346412
CEBPE (1053),-0.0060224049368086995,0.0060224049368086995
TAF7L (54457),-0.0058948851242952025,0.0058948851242952025
ADH7 (131),0.005865782919655772,0.005865782919655772
ADGRE3 (84658),0.005693586388875646,0.005693586388875646
GAGE12G (645073),0.005658169344898406,0.005658169344898406
GYS2 (2998),-0.005548245921465812,0.005548245921465812
DUSP23 (54935),0.005498365961088415,0.005498365961088415
SEC14L3 (266629),-0.0054614685598495276,0.0054614685598495276
KRT35 (3886),0.005409984948116249,0.005409984948116249
PRB1 (5542),-0.005347224050740574,0.005347224050740574
SMIM23 (644994),-0.005320253248974114,0.005320253248974114
C6orf58 (352999),0.005307074212105794,0.005307074212105794
NCKAP5 (344148),0.005258762464852803,0.005258762464852803
FAM90A18 (441326),0.005258287017734008,0.005258287017734008
FAM90A19 (728753),0.005258287017734008,0.005258287017734008
DDX19B (11269),-0.005241398892091286,0.005241398892091286
TAFA2 (338811),-0.005232438539960421,0.005232438539960421
DCLK1 (9201),0.005186605139158348,0.005186605139158348
RXFP2 (122042),0.005150952437103565,0.005150952437103565
HDC (3067),-0.0051467409567911,0.0051467409567911
CRB1 (23418),-0.005142858281054463,0.005142858281054463
MAGEA9B (728269),0.005134938766394486,0.005134938766394486
C4orf17 (84103),0.005110004442515135,0.005110004442515135
REN (5972),-0.005087672442594154,0.005087672442594154
SPANXN5 (494197),0.005056631099637531,0.005056631099637531
OR52E1 (79296),-0.005032536459075246,0.005032536459075246
TAL2 (6887),-0.00501414900378248,0.00501414900378248
SHOX2 (6474),-0.005007646594839439,0.005007646594839439
CRNN (49860),0.004969169989849724,0.004969169989849724
NBPF10 (100132406),0.004903979809027206,0.004903979809027206
NPPC (4880),-0.004895133533977289,0.004895133533977289
CFHR2 (3080),-0.004885804079637941,0.004885804079637941
RORA (6095),0.004841094236317499,0.004841094236317499
MAS1 (4142),0.004831323809081211,0.004831323809081211
SERPINF1 (5176),-0.004819812137414794,0.004819812137414794
TBC1D3F (84218),-0.004806130578524988,0.004806130578524988
MR1 (3140),-0.004805751661194823,0.004805751661194823
DIPK2B (79742),-0.004804431984323739,0.004804431984323739
CCL11 (6356),-0.004802772406988491,0.004802772406988491
TM4SF20 (79853),-0.004762976571751147,0.004762976571751147
TRIM60 (166655),0.004744564443345844,0.004744564443345844
C2CD6 (151254),-0.004730614407141204,0.004730614407141204
DENND2A (27147),0.0047173068938997685,0.0047173068938997685
MMP9 (4318),0.00470554729823279,0.00470554729823279
SLC27A2 (11001),-0.0046768608649612785,0.0046768608649612785
PHYHD1 (254295),-0.00467047114010431,0.00467047114010431
ZNF655 (79027),-0.004653087056867549,0.004653087056867549
CHCT1 (124773),-0.004640203889487534,0.004640203889487534
ART4 (420),-0.004622414656317866,0.004622414656317866
ANKRD65 (441869),-0.004590536031673179,0.004590536031673179
FLI1 (2313),0.004578224479414968,0.004578224479414968
PM20D1 (148811),-0.004573843459968776,0.004573843459968776
PRPS1L1 (221823),0.004550110002798431,0.004550110002798431
OR8D2 (283160),0.004545217570857971,0.004545217570857971
IQCA1 (79781),-0.004539481191015723,0.004539481191015723
GSTM3 (2947),0.0045346177919798674,0.0045346177919798674
RGS1 (5996),-0.004532541714720977,0.004532541714720977
DNASE2B (58511),-0.004529771242838993,0.004529771242838993
SSX3 (10214),-0.0045142579412574295,0.0045142579412574295
MAP1LC3A (84557),0.004510591333971425,0.004510591333971425
WNT16 (51384),-0.004507984572390428,0.004507984572390428
APOBEC4 (403314),0.004505153544344873,0.004505153544344873
TTLL9 (164395),0.004495712227820714,0.004495712227820714
OPN1MW (2652),-0.004494061668222712,0.004494061668222712
STRA6 (64220),-0.004485538302303977,0.004485538302303977
NT5C1B (93034),0.004453355911945385,0.004453355911945385
MYOCD (93649),-0.004447184341396465,0.004447184341396465
BIRC7 (79444),-0.004435728206333693,0.004435728206333693
PLXDC1 (57125),0.0044124268911160565,0.0044124268911160565
SLAMF7 (57823),-0.0043846973721383955,0.0043846973721383955
SRMS (6725),0.004377354549774802,0.004377354549774802
BMP10 (27302),-0.0043770500536827505,0.0043770500536827505
TBX18 (9096),-0.004370692242852137,0.004370692242852137
ASB15 (142685),0.004366878807991709,0.004366878807991709
LEKR1 (389170),-0.004361766977714935,0.004361766977714935
EPHB6 (2051),-0.004335943780535315,0.004335943780535315
IL37 (27178),-0.004324979349071795,0.004324979349071795
ST6GAL1 (6480),-0.00431644529177799,0.00431644529177799
TCP11 (6954),-0.004306048569341665,0.004306048569341665
CELA3B (23436),-0.004298676829094841,0.004298676829094841
ZNF880 (400713),0.00427819569980605,0.00427819569980605
NDUFA12 (55967),0.004270133901840391,0.004270133901840391
PTCRA (171558),-0.004263532151228945,0.004263532151228945
SLC51B (123264),-0.0042361669060958385,0.0042361669060958385
OPN1MW2 (728458),-0.004231639195318381,0.004231639195318381
SHCBP1L (81626),-0.004207677473988726,0.004207677473988726
THEM4 (117145),-0.004163858730308002,0.004163858730308002
RYR2 (6262),0.004162628929743121,0.004162628929743121
ZNF593OS (118568799),0.004161643850405273,0.004161643850405273
LIPM (340654),-0.004148968740689855,0.004148968740689855
GRM3 (2913),0.004146669110120583,0.004146669110120583
OR2A12 (346525),-0.004139353362859393,0.004139353362859393
ZNF841 (284371),0.004127603150181836,0.004127603150181836
SLFNL1 (200172),0.004111853976500203,0.004111853976500203
OSBPL5 (114879),0.004108552094194656,0.004108552094194656
H2AC12 (85235),-0.0041075947987635995,0.0041075947987635995
IPMK (253430),0.00410593766270678,0.00410593766270678
AVP (551),-0.004104908706538988,0.004104908706538988
PXDNL (137902),0.0041006991295068854,0.0041006991295068854
ADARB1 (104),0.004098550863548428,0.004098550863548428
DNASE1L2 (1775),0.0040696985494578205,0.0040696985494578205
SPANXN4 (441525),0.004067504670206447,0.004067504670206447
NIPAL4 (348938),-0.0040665171999576845,0.0040665171999576845
HTR3D (200909),-0.004066215272280507,0.004066215272280507
MATK (4145),0.0040639654202799975,0.0040639654202799975
CPA2 (1358),-0.0040591006060602935,0.0040591006060602935
COL9A2 (1298),0.0040482676804901715,0.0040482676804901715
SLC28A2 (9153),0.004042008742707498,0.004042008742707498
KRTAP2-4 (85294),0.004028554106507899,0.004028554106507899
APLNR (187),-0.004023530990747334,0.004023530990747334
PCSK6 (5046),-0.004017230178932919,0.004017230178932919
GPD1 (2819),-0.004010863842201994,0.004010863842201994
PPP1R42 (286187),0.0040089292651613795,0.0040089292651613795
TAF11L4 (391746),-0.0040064833594540125,0.0040064833594540125
OR5AK2 (390181),-0.004006479703495237,0.004006479703495237
TBC1D12 (23232),0.00399068034988506,0.00399068034988506
TMIE (259236),0.003990391385901838,0.003990391385901838
OR8G5 (219865),0.003987642965494789,0.003987642965494789
NPFFR1 (64106),-0.003986386040952098,0.003986386040952098
C9orf40 (55071),0.003984689914019263,0.003984689914019263
SCCPDH (51097),-0.003982365367586726,0.003982365367586726
XCL2 (6846),-0.003977986464990593,0.003977986464990593
HIGD1C (613227),-0.003976549398839303,0.003976549398839303
HVCN1 (84329),0.003976268344678234,0.003976268344678234
TYW1B (441250),0.003970538843591932,0.003970538843591932
OR52P1 (81248),0.003963870762230001,0.003963870762230001
CTNNA3 (29119),0.003961499587543077,0.003961499587543077
CST4 (1472),-0.003958157647364074,0.003958157647364074
MAGEA1 (4100),0.003950261272728734,0.003950261272728734
NOTCH2NLA (388677),0.0039464205820828125,0.0039464205820828125
PGM5 (5239),0.003938976315135031,0.003938976315135031
NTNG2 (84628),0.003936862391991936,0.003936862391991936
C20orf141 (128653),0.0039325030286795955,0.0039325030286795955
MSX1 (4487),0.0039292645519382365,0.0039292645519382365
GPR34 (2857),0.003927833137301617,0.003927833137301617
DNAJB4 (11080),0.003926768818245718,0.003926768818245718
H4C11 (8363),-0.003924994387186007,0.003924994387186007
MORN5 (254956),0.003923570034937938,0.003923570034937938
KRTAP2-2 (728279),0.003921814289240963,0.003921814289240963
POTEB3 (102724631),-0.003921789736572009,0.003921789736572009
CNTNAP3B (728577),-0.003921202656690004,0.003921202656690004
ZNF44 (51710),0.003907672782658144,0.003907672782658144
CIMAP1C (161753),-0.0039067689511560946,0.0039067689511560946
OR14A2 (388761),0.0039047185285850682,0.0039047185285850682
CCDC167 (154467),0.003903903845419868,0.003903903845419868
SPINT4 (391253),-0.0038968385805488075,0.0038968385805488075
CST2 (1470),-0.003883639856415311,0.003883639856415311
GOLGA8J (653073),0.003882133856133708,0.003882133856133708
PIWIL2 (55124),-0.0038771313577051574,0.0038771313577051574
NRL (4901),-0.003876718852440858,0.003876718852440858
DGLUCY (80017),-0.0038759923568140358,0.0038759923568140358
NAA38 (84316),0.0038655996164414326,0.0038655996164414326
SCGB3A1 (92304),-0.0038635194527315646,0.0038635194527315646
FAM209B (388799),0.0038633951558146146,0.0038633951558146146
PRSS21 (10942),0.0038611182625980824,0.0038611182625980824
H4C7 (8369),0.003858597517901081,0.003858597517901081
INO80C (125476),-0.003857065412357541,0.003857065412357541
GPHN (10243),-0.003853689450203908,0.003853689450203908
PRG4 (10216),-0.003851527637112881,0.003851527637112881
DEFB1 (1672),-0.0038456709717778472,0.0038456709717778472
PLXNA4 (91584),-0.003843534094364172,0.003843534094364172
RNASE10 (338879),0.0038374412250480857,0.0038374412250480857
RFPL4B (442247),0.0038373571360054318,0.0038373571360054318
LRRC25 (126364),0.003832918664341172,0.003832918664341172
PITPNM3 (83394),0.0038297010001545205,0.0038297010001545205
NLRP10 (338322),0.003825323267052129,0.003825323267052129
IRAK3 (11213),0.003821104687019974,0.003821104687019974
XKR3 (150165),-0.0038163141102541104,0.0038163141102541104
OR7A5 (26659),-0.0038162244216120127,0.0038162244216120127
CD1C (911),0.00381260063014406,0.00381260063014406
BMP2 (650),-0.0038120159264679694,0.0038120159264679694
TMC3 (342125),0.0038108587528662185,0.0038108587528662185
MUC12 (10071),-0.0037996802893228705,0.0037996802893228705
NID2 (22795),0.0037961202614038465,0.0037961202614038465
CFHR5 (81494),-0.0037938256986738937,0.0037938256986738937
OR2T8 (343172),0.003787599064055251,0.003787599064055251
SVEP1 (79987),0.003787391143338947,0.003787391143338947
SLITRK2 (84631),0.0037851815981660005,0.0037851815981660005
LCP2 (3937),0.0037840595656991943,0.0037840595656991943
TP53 (7157),0.0037827289565854536,0.0037827289565854536
MACROD2 (140733),0.0037776948293152105,0.0037776948293152105
ANXA2R (389289),0.003773589318911952,0.003773589318911952
AMZ2 (51321),-0.0037720367922562006,0.0037720367922562006
TAS2R42 (353164),-0.003771241492951022,0.003771241492951022
CD86 (942),0.0037663280062005117,0.0037663280062005117
NCCRP1 (342897),-0.003762774850231837,0.003762774850231837
PLEKHG4 (25894),0.0037591888032299584,0.0037591888032299584
BRDT (676),0.003748750561079126,0.003748750561079126
GALNT1 (2589),-0.00374254354904397,0.00374254354904397
MAGEA11 (4110),0.0037417697943502807,0.0037417697943502807
ANKRD13C (81573),0.0037412532277798323,0.0037412532277798323
NXNL1 (115861),0.0037393302547150385,0.0037393302547150385
CDH20 (28316),0.003736285879602089,0.003736285879602089
KRTAP13-2 (337959),-0.003718620821577474,0.003718620821577474
HSF5 (124535),-0.0037171753222968004,0.0037171753222968004
TNP2 (7142),-0.003714571549918372,0.003714571549918372
DGKE (8526),0.003705201929745547,0.003705201929745547
GALP (85569),0.0037019239741467955,0.0037019239741467955
RAMP3 (10268),0.0036988297664714283,0.0036988297664714283
ADAM22 (53616),-0.00369094987500944,0.00369094987500944
ABCA9 (10350),0.0036898468143628026,0.0036898468143628026
THSD7A (221981),-0.0036870409846360857,0.0036870409846360857
SLC6A13 (6540),0.0036841561555606746,0.0036841561555606746
PRR35 (146325),0.003678838066626084,0.003678838066626084
SLITRK5 (26050),0.003678548819936432,0.003678548819936432
SEMG1 (6406),-0.00367255178313601,0.00367255178313601
SLC6A11 (6538),0.003664223916691644,0.003664223916691644
ARHGEF10 (9639),0.003657497287655866,0.003657497287655866
SKOR2 (652991),0.003647149751764229,0.003647149751764229
