feature,coefficient,absolute_coefficient,selected
PRG2 (5553),-0.019569764848157298,0.019569764848157298,True
CATSPER1 (117144),-0.011711633113676876,0.011711633113676876,True
IL31RA (133396),-0.011372871318691783,0.011372871318691783,True
CFL2 (1073),-0.010576527098529985,0.010576527098529985,True
SOCS7 (30837),0.010509247731908448,0.010509247731908448,True
CAMKV (79012),-0.010229724949284305,0.010229724949284305,True
SCARF1 (8578),-0.009378315096143421,0.009378315096143421,True
HR (55806),0.007882808603830265,0.007882808603830265,True
CXCL6 (6372),-0.00708422835874045,0.00708422835874045,True
FILIP1L (11259),-0.005967559134120921,0.005967559134120921,True
RASGRP1 (10125),0.005664373321467568,0.005664373321467568,True
PSG11 (5680),-0.005398364435068088,0.005398364435068088,True
PIK3C2B (5287),0.0043711844797938385,0.0043711844797938385,True
YBX2 (51087),0.004328495272373776,0.004328495272373776,True
FREM2 (341640),0.004179163505997958,0.004179163505997958,True
SLC35G1 (159371),0.0040121839268755545,0.0040121839268755545,True
C8G (733),0.0038910505958936826,0.0038910505958936826,True
MROH2B (133558),-0.003759277742523343,0.003759277742523343,True
GAGE2A (729447),0.0035097154874256164,0.0035097154874256164,True
CYREN (78996),0.003363879556590245,0.003363879556590245,True
COL13A1 (1305),-0.0031020218727508633,0.0031020218727508633,True
TASP1 (55617),0.0029439163852453386,0.0029439163852453386,True
FLI1 (2313),-0.002905944551899084,0.002905944551899084,True
TOMM34 (10953),-0.0028514739960510864,0.0028514739960510864,True
SAMD3 (154075),-0.0025495704349762435,0.0025495704349762435,True
TBPL1 (9519),-0.0025430770203655733,0.0025430770203655733,True
TCF20 (6942),0.0018632208446248194,0.0018632208446248194,True
H3C13 (653604),0.001839311600424134,0.001839311600424134,True
DNAAF19 (388389),0.0017970565705371733,0.0017970565705371733,True
LHX3 (8022),-0.0015978600337931235,0.0015978600337931235,True
TMEM266 (123591),0.0014335979325810356,0.0014335979325810356,True
MAT1A (4143),0.00114529124747222,0.00114529124747222,True
GATM (2628),0.0011419888021983026,0.0011419888021983026,True
NUFIP2 (57532),0.0010904753967108357,0.0010904753967108357,True
PAQR5 (54852),0.001028983204242456,0.001028983204242456,True
NMT2 (9397),-0.0010098154814087692,0.0010098154814087692,True
VSIG10L (147645),0.0009553829286138843,0.0009553829286138843,True
LGALS13 (29124),-0.0008635537242316227,0.0008635537242316227,True
YARS2 (51067),-0.0008171256710791878,0.0008171256710791878,True
HLCS (3141),0.0006835043616179184,0.0006835043616179184,True
RARG (5916),0.0005134185994089034,0.0005134185994089034,True
ZNF285 (26974),-0.00033692622924650376,0.00033692622924650376,True
MAP3K19 (80122),-0.00033142476984901123,0.00033142476984901123,True
NRL (4901),0.0003203894019915193,0.0003203894019915193,True
PGGT1B (5229),0.00021563283566969628,0.00021563283566969628,True
UPK3BL2 (107983993),0.00013081836870694117,0.00013081836870694117,True
GNAL (2774),2.4389197785914423e-05,2.4389197785914423e-05,True
