feature,coefficient,absolute_coefficient
IL31RA (133396),-3.768706440122732e-05,3.768706440122732e-05
PRG2 (5553),-3.743628155779072e-05,3.743628155779072e-05
CATSPER1 (117144),-3.715836644754812e-05,3.715836644754812e-05
CFL2 (1073),-3.492881334416555e-05,3.492881334416555e-05
PIK3C2B (5287),3.3956115169317013e-05,3.3956115169317013e-05
SOCS7 (30837),3.3803994976372466e-05,3.3803994976372466e-05
SCARF1 (8578),-3.341834175982499e-05,3.341834175982499e-05
COL13A1 (1305),-3.3324456728649e-05,3.3324456728649e-05
HR (55806),3.296339520617636e-05,3.296339520617636e-05
FLI1 (2313),-3.291519710519233e-05,3.291519710519233e-05
CXCL6 (6372),-3.2905735641817506e-05,3.2905735641817506e-05
FILIP1L (11259),-3.261621036412699e-05,3.261621036412699e-05
FGF5 (2250),-3.191736579550513e-05,3.191736579550513e-05
FREM2 (341640),3.188970052356757e-05,3.188970052356757e-05
ELK3 (2004),-3.187909074282268e-05,3.187909074282268e-05
NMT2 (9397),-3.176873772254013e-05,3.176873772254013e-05
YBX2 (51087),3.17087609941932e-05,3.17087609941932e-05
QSOX1 (5768),-3.1502311625245076e-05,3.1502311625245076e-05
SAMD3 (154075),-3.126710847837642e-05,3.126710847837642e-05
BICDL1 (92558),3.101922768717011e-05,3.101922768717011e-05
TCF20 (6942),3.074989167952684e-05,3.074989167952684e-05
SLC35G1 (159371),3.064386310176811e-05,3.064386310176811e-05
C8G (733),3.0642672322275336e-05,3.0642672322275336e-05
GPT (2875),3.041170660655037e-05,3.041170660655037e-05
MARCHF4 (57574),-3.0369084147662966e-05,3.0369084147662966e-05
TOMM34 (10953),-3.0318924518239488e-05,3.0318924518239488e-05
TMEM71 (137835),-3.016130934159815e-05,3.016130934159815e-05
POU2F2 (5452),-3.0103284804394142e-05,3.0103284804394142e-05
TRIO (7204),-3.00455456637574e-05,3.00455456637574e-05
VSIG10L (147645),3.001222639983054e-05,3.001222639983054e-05
ADAMTS6 (11174),-2.979650661075427e-05,2.979650661075427e-05
RASGRP1 (10125),2.9778077140633428e-05,2.9778077140633428e-05
CAMKV (79012),-2.9733674233565132e-05,2.9733674233565132e-05
LIMD2 (80774),-2.9708959623787274e-05,2.9708959623787274e-05
BCAT1 (586),-2.968835871715093e-05,2.968835871715093e-05
TBPL1 (9519),-2.9575135086446268e-05,2.9575135086446268e-05
TMEM266 (123591),2.9495133445271392e-05,2.9495133445271392e-05
PFKFB2 (5208),2.948262994778582e-05,2.948262994778582e-05
ZNF285 (26974),-2.9481911395409525e-05,2.9481911395409525e-05
KIAA0408 (9729),-2.943828803106748e-05,2.943828803106748e-05
UPK3BL2 (107983993),2.9208570785194942e-05,2.9208570785194942e-05
FGFR3 (2261),2.9176342840517365e-05,2.9176342840517365e-05
CYREN (78996),2.9155068568955535e-05,2.9155068568955535e-05
NRL (4901),2.8911935341931405e-05,2.8911935341931405e-05
TNFRSF6B (8771),-2.8901530514479623e-05,2.8901530514479623e-05
PSG11 (5680),-2.8881321880246815e-05,2.8881321880246815e-05
PRDM8 (56978),-2.886621048998625e-05,2.886621048998625e-05
TMEM200B (399474),-2.8844768473422264e-05,2.8844768473422264e-05
TMEM200A (114801),-2.8775183925514326e-05,2.8775183925514326e-05
MROH2B (133558),-2.8747398459612125e-05,2.8747398459612125e-05
TSPAN5 (10098),-2.874110677388786e-05,2.874110677388786e-05
FHDC1 (85462),2.863641621666179e-05,2.863641621666179e-05
PRUNE1 (58497),2.856803203725047e-05,2.856803203725047e-05
GNAL (2774),2.8462407743614154e-05,2.8462407743614154e-05
TASP1 (55617),2.8410363674863957e-05,2.8410363674863957e-05
MFAP3L (9848),2.831856877311754e-05,2.831856877311754e-05
YARS2 (51067),-2.826801713187063e-05,2.826801713187063e-05
ACSL4 (2182),-2.8223982613749225e-05,2.8223982613749225e-05
RARG (5916),2.816128033155097e-05,2.816128033155097e-05
ADSS1 (122622),2.8142653768992426e-05,2.8142653768992426e-05
GATM (2628),2.7962858234541253e-05,2.7962858234541253e-05
CYP2C18 (1562),2.7947633340807078e-05,2.7947633340807078e-05
F2R (2149),-2.7933481424182974e-05,2.7933481424182974e-05
SOX13 (9580),2.7929870318825105e-05,2.7929870318825105e-05
SFMBT1 (51460),2.7909617924841578e-05,2.7909617924841578e-05
MAT1A (4143),2.7872681025064548e-05,2.7872681025064548e-05
ENTPD5 (957),2.7866675730304357e-05,2.7866675730304357e-05
ARMCX1 (51309),-2.7865776567989226e-05,2.7865776567989226e-05
HLCS (3141),2.7849953185204483e-05,2.7849953185204483e-05
GNG5 (2787),-2.7845522311918392e-05,2.7845522311918392e-05
C11orf68 (83638),-2.7778734734540553e-05,2.7778734734540553e-05
SLC44A1 (23446),2.7765518429984844e-05,2.7765518429984844e-05
EIF3F (8665),-2.7685031464114375e-05,2.7685031464114375e-05
PGGT1B (5229),2.7607071839944463e-05,2.7607071839944463e-05
ZBTB42 (100128927),2.755875243328924e-05,2.755875243328924e-05
BLID (414899),-2.7515419908824532e-05,2.7515419908824532e-05
MYH14 (79784),2.7462045681455664e-05,2.7462045681455664e-05
BCL10 (8915),-2.745444729323706e-05,2.745444729323706e-05
DOCK8 (81704),2.745437308464989e-05,2.745437308464989e-05
CDCA7L (55536),-2.7375727671883102e-05,2.7375727671883102e-05
PTX3 (5806),-2.7367256321346015e-05,2.7367256321346015e-05
RAC2 (5880),-2.7309463797178186e-05,2.7309463797178186e-05
SHC3 (53358),-2.723368523922184e-05,2.723368523922184e-05
BLTP2 (9703),2.7142837590517227e-05,2.7142837590517227e-05
TOB1 (10140),2.7116042529889078e-05,2.7116042529889078e-05
RAB15 (376267),2.7115986026683938e-05,2.7115986026683938e-05
RASAL1 (8437),2.7085507852332503e-05,2.7085507852332503e-05
AMPD3 (272),-2.7082387069409428e-05,2.7082387069409428e-05
HOXC13 (3229),2.7068461416779472e-05,2.7068461416779472e-05
ITPK1 (3705),2.7056466330768027e-05,2.7056466330768027e-05
DTWD2 (285605),2.7046564107387e-05,2.7046564107387e-05
RIIAD1 (284485),-2.7015599710288243e-05,2.7015599710288243e-05
GAGE2A (729447),2.7001225940284763e-05,2.7001225940284763e-05
ZCCHC2 (54877),2.6992740174256906e-05,2.6992740174256906e-05
ZNF655 (79027),-2.6960766843734155e-05,2.6960766843734155e-05
EIF3M (10480),-2.695386201469607e-05,2.695386201469607e-05
SPDYE6 (729597),2.687999763724126e-05,2.687999763724126e-05
CLCN2 (1181),2.6877800630798503e-05,2.6877800630798503e-05
SYCE3 (644186),2.6873150231516848e-05,2.6873150231516848e-05
SMURF2 (64750),-2.6845393809414086e-05,2.6845393809414086e-05
SLC22A23 (63027),2.684136707396954e-05,2.684136707396954e-05
CYP4F12 (66002),2.679022113152652e-05,2.679022113152652e-05
C1orf226 (400793),2.6760346226460653e-05,2.6760346226460653e-05
CYP4F3 (4051),2.67495450106713e-05,2.67495450106713e-05
TRAF4 (9618),2.6674953718758365e-05,2.6674953718758365e-05
SSR3 (6747),-2.6589366293953738e-05,2.6589366293953738e-05
